"market_block","indicator_name","exact_definition","preferred_unit","original_unit","geography","frequency","preferred_frequency_for_research","source_name","source_url","source_type","free_or_paid","historical_start_date","expected_publication_lag","raw_or_derived","derivation_formula","source_series_code/table/API","availability_status","collection_method","notes_on_methodology","known_breaks","last_checked_date"
"positioning","CFTC COMEX copper trader positions","Disaggregated futures-only positions for COMEX copper by producer/merchant swap dealer managed money and other reportables","contracts","contracts","United States/COMEX","weekly","weekly","CFTC Public Reporting Environment","https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm","official regulator Socrata API and historical files","free","2006-06-13 for disaggregated reports; legacy series 1986","Tuesday positions released Friday","raw","","PRE Disaggregated Futures Only; Socrata dataset 72hh-3qpy; COMEX copper market code","A","use Socrata API with pagination or CFTC annual historical compressed files; save raw payload","Net managed money is long minus short; spreading stays separate","CFTC classification and report formats can change; revisions possible","2026-09-01"
"physical_market","Yangshan copper premium under warrant","SMM premium of benchmark LME-registered Grade A cathode in Yangshan/Waigaoqiao bonded warehouses over LME cash","USD/metric tonne","USD/metric tonne","Shanghai bonded zone","daily","daily or weekly average","Shanghai Metals Market Yangshan warrant premium","https://data.smm.cn/","PRA assessment with OAuth API","paid/licensed","2012-11-20","same trading day around 11:30 China time","raw","","SMM Yangshan warrant series; API listed in SMM data catalogue","C","use licensed SMM API/Excel export only; preserve high low average and methodology version","This is the exact Yangshan warrant benchmark; do not reconstruct it from exchange ratios","Methodology revisions; user entitlement start date; brand and delivery definitions","2026-09-01"
"physical_market","Yangshan copper premium under bill of lading","SMM CIF Shanghai premium of benchmark LME-registered Grade A cathode over LME cash","USD/metric tonne","USD/metric tonne","CIF Shanghai","daily","daily or weekly average","Shanghai Metals Market Yangshan bill-of-lading API","https://data.smm.cn/dataapi/%E9%93%9C/cu_yangshan_copper_premium_bill_of_lading","PRA OAuth JSON API","paid/licensed","2017-04-25","same trading day around 11:30 China time","raw","","POST https://dataapi.smm.cn/GetData/cu_yangshan_copper_premium_bill_of_lading","C","licensed POST request with sdatetime and edatetime; retain raw JSON","Exact SMM Yangshan B/L series with documented high low average fields","API requires separate authorization and entitlements expire","2026-09-01"
"physical_market","Shanghai Grade A CIF cathode premium monthly settlement","Final monthly settlement of CME CUP equal to arithmetic average of Fastmarkets daily MB-CU-0403 midpoints for the contract month","USD/metric tonne","USD/metric tonne","CIF Shanghai","monthly","monthly","CME Copper Premium Grade A CIF Shanghai futures","https://www.cmegroup.com/markets/metals/base/copper-premium-grade-a-cif-shanghai-metal-bulletin.contractSpecs.html","official exchange cash-settled futures based on PRA benchmark","free delayed settlements; historical archive terms apply","2017-12","after contract-month settlement","raw","","CME product CUP; underlying Fastmarkets MB-CU-0403","A/B","parse CUP rows and expired final settlements from CME bulletins/DataMine","Legitimate public monthly Shanghai CIF benchmark; not the SMM Yangshan warrant series and not a daily spot series","Liquidity can be zero; settlement remains benchmark-derived; contract specification changes must be tracked","2026-09-01"
"physical_market","Fastmarkets Shanghai Grade A CIF premium","Daily Grade A cathode CIF Shanghai duty-unpaid premium over LME cash","USD/metric tonne","USD/metric tonne","CIF Shanghai","daily","daily","Fastmarkets","https://www.fastmarkets.com/uploads/2024/07/fm-mb-non-ferrous-methodology-specifications-1.pdf","PRA Market Data API","paid/licensed","series launch precedes CME CUP; verify entitlement history","daily 15:00-16:00 London","raw","","MB-CU-0403; POST https://api.fastmarkets.com/marketdata/v1/Prices","C","licensed Fastmarkets API with symbol and revision retrieval","Exact underlying of CME CUP; daily history requires licence","Methodology and brand specifications may be revised","2026-09-01"
"physical_market","US Midwest Grade 1 cathode premium","Grade 1 cathode DDP US Midwest premium under Fastmarkets specification","US cents/pound","US cents/pound","United States Midwest","weekly","weekly","Fastmarkets","https://www.fastmarkets.com/commodity-prices/copper-grade-1-cathode-premium-ddp-midwest-us-us-cents-lb-mb-cu-0002/","PRA Market Data API","paid/licensed","2002","weekly Tuesday","raw","","MB-CU-0002","C","licensed Fastmarkets API/export","Exact commercial benchmark","Location and quality wording amended 2025-07-15; earlier observations retain contemporaneous methodology","2026-09-01"
"physical_market","US producer cathode premium public series","Difference between USGS monthly US producer cathode price and COMEX first-position price from the same table","US cents/pound","US cents/pound","United States","monthly","monthly","USGS Copper Mineral Industry Surveys","https://www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information","official government XLS/XLSX/PDF archive","free/public domain government work; embedded source quotations may have attribution limits","monthly archive from 2005; predecessor annual series older","roughly two to four months","derived","US producer cathode price - COMEX first-position price","USGS MIS Table 11 Average Price of Copper","A","download each monthly XLS/XLSX; extract table once per reference month; preserve publication vintage","Clean public US premium measure and better fallback than inventing a premium; definition is not identical to MB-CU-0002","Table notes changed from delivered producer price to COMEX plus New York dealer premium; identify break by vintage","2026-09-01"
"physical_market","Europe Rotterdam Grade A cathode premium","Grade A cathode CIF Rotterdam duty-unpaid premium over LME cash","USD/metric tonne","USD/metric tonne","Rotterdam/Europe","weekly","weekly","Fastmarkets","https://www.fastmarkets.com/commodity-prices/copper-grade-a-cathode-premium-cif-rotterdam-dollar-tonne-mb-cu-0369/","PRA Market Data API","paid/licensed","2017-01-10","weekly Tuesday under current schedule","raw","","MB-CU-0369","C","licensed Fastmarkets API/export","Exact spot benchmark for the requested European premium family","Frequency changed from fortnightly to weekly at end-2025; methodology versions required","2026-09-01"
"physical_market","Aurubis annual European copper premium","Aurubis announced annual premium for European cathode contract customers","USD/metric tonne","USD/metric tonne","Europe","annual","annual","Aurubis annual and quarterly reports","https://www.aurubis.com/en/investor-relations/publications/annual-report","producer disclosure archive","free","historical annual reports; backfill announcement year by year","announced before/during contract year","raw","","annual report copper premium statement","A/B","download reports and extract stated calendar-year premium with page citation","Defensible public contract-premium indicator; not a weekly European spot premium","Reporting wording and currency can change; some years require announcement search","2026-09-01"
"concentrate_market","SMM imported copper concentrate TC index","Weekly spot TC for standard copper concentrate purchased by Chinese smelters under SMM methodology","USD/dry metric tonne","USD/dry metric tonne and US cents/pound RC","China import market","weekly","weekly and monthly average","Shanghai Metals Market","https://data.smm.cn/dataapi/%E9%93%9C/cu_tc_rcs","PRA OAuth API","paid/licensed","2013-01-18 predecessor quote; index from 2019-10-25","weekly Friday","raw","","cu_tc_rcs; SMM-CU-CC index family","C","licensed SMM API/export; store TC and RC if both supplied","Exact clean spot TC/RC path exists; do not reconstruct a benchmark from import unit values","Methodology break 2019-10-25 when quote was replaced by index","2026-09-01"
"concentrate_market","Fastmarkets Asia-Pacific concentrate TC index","Copper concentrates treatment-charge index CIF Asia Pacific","USD/dry metric tonne","USD/dry metric tonne","Asia Pacific","twice monthly","semi-monthly or monthly","Fastmarkets","https://www.fastmarkets.com/uploads/26/58/8e4cf5414cde94fc4f732e36a043/fastmarkets-price-name-standardization-base-metals.pdf","PRA Market Data API","paid/licensed","verify licensed history","15th and month-end","raw","","MB-CU-0287","C","licensed Fastmarkets API/export","Exact PRA concentrate TC benchmark","Methodology versions and publication frequency must be retained","2026-09-01"
"concentrate_market","Public long-term and benchmark TC observations","Announced annual or half-year long-term TC and CSPT quarterly purchase-guidance TC as published by SMM/CSPT and primary company reports","USD/dry metric tonne","USD/dry metric tonne","China/benchmark negotiations","quarterly half-year annual","quarterly","SMM public benchmark pages and company reports","https://hq.smm.cn/copper/list/216","public announcement archive","free to read; values may require individual article extraction","2008-H1 for SMM long-term list; 2016 for floor-price family","event date","raw","","SMM long-term TC and purchase-guidance pages","B","crawl announcement index then store one observation per stated contract period with URL and quoted definition","Use as a sparse benchmark/event series not as a reconstructed weekly spot TC","CSPT stopped setting some quarters and mechanism weakened/ceased; missing means not announced not zero","2026-09-01"
"concentrate_market","COCHILCO historical combined TC/RC indicator","Historical combined treatment and refining charges shown in COCHILCO smelter-market reports","USD-equivalent/metric tonne payable copper","chart/report units","global benchmark context","annual","annual","COCHILCO smelter market report","https://www.cochilco.cl/web/download/593/2023/11564/informe-mercado-de-fundiciones-actualizacion-2023.pdf","government analytical report citing market sources","free report; underlying commercial source may be licensed","2000","irregular report release","raw only if table values are published; otherwise reference series","","Figure 19 and accompanying methodology","B/C","extract only explicit published table/label values and retain page citation; do not digitize proprietary curves as a substitute for licensed data without rights review","Provides a long historical check and benchmark chronology but may rely on Wood Mackenzie","Underlying source licence and chart digitization rights constrain redistribution","2026-09-01"
"scrap_secondary","US No.1 copper scrap price index","BLS PPI for No.1 copper scrap including wire","index Dec 1986=100","index Dec 1986=100","United States","monthly","monthly","BLS via FRED/ALFRED","https://fred.stlouisfed.org/series/WPU10230101","official statistical series and API/CSV mirror","free","1986-12","about two weeks","raw","","WPU10230101","A","FRED graph CSV keyless or FRED API; archive vintages through ALFRED","A price index not a dollar discount; compare changes rather than subtracting levels from LME","BLS seasonal/status revisions and copyrighted-series note should be preserved","2026-09-01"
"scrap_secondary","US No.2 copper scrap price index","BLS PPI for No.2 copper scrap including wire","index Dec 1986=100","index Dec 1986=100","United States","monthly","monthly","BLS via FRED/ALFRED","https://fred.stlouisfed.org/series/WPU10230102","official statistical series and API/CSV mirror","free","1986-12","about two weeks","raw","","WPU10230102","A","FRED graph CSV keyless or FRED API; archive vintages through ALFRED","A clean long history for scrap-market tightness; not an outright scrap discount","BLS revisions and copyrighted-series note should be preserved","2026-09-01"
"scrap_secondary","Copper scrap trade quantity and unit value","Imports and exports under HS 7404 by reporter partner and month; unit value is trade value divided by net weight","metric tonnes and USD/metric tonne","kg and USD","global/bilateral","monthly","monthly","UN Comtrade API","https://comtradeapi.un.org/public/v1/preview/C/A/HS","official international trade API","free within public API limits","1988 broadly; HS revision-dependent","one to several months","raw plus accounting derivation","tradeValue / (netWeight kg / 1000)","HS 7404; flow M/X","A","query final monthly data by reporter/partner with HS revision and preserve raw JSON","Unit value is a trade statistic not a spot scrap-price benchmark; useful for flows and grade-mix shifts","HS revisions partner confidentiality mirror records and quantity-unit gaps","2026-09-01"
"scrap_secondary","US secondary refined copper production and scrap use","US refined copper produced from scrap plus purchased scrap consumption and recovery tables","metric tonnes copper content","metric tonnes","United States","monthly","monthly","USGS Copper Mineral Industry Surveys","https://www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information","official government XLSX/PDF","free/public domain government work","monthly archive from 2005; historical annual tables older","roughly two to four months","raw","","MIS refined production by source and scrap-use tables","A","download monthly workbook and extract latest reference-month row; preserve cumulative and monthly distinction","Direct physical secondary-supply dataset","Survey estimation bases and table layouts change","2026-09-01"
"fundamentals","World copper mine production by country annual","Copper mine production in metal content by country","metric tonnes copper content","metric tonnes","global/country","annual","annual","British Geological Survey World Mineral Statistics","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics","official geological survey OGC API and Excel tool","free under BGS terms","1970 API; PDFs back to 1913","roughly one to two years","raw","","commodity copper; yearbook table mine; statistic production","A","OGC API/CSV with country subcommodity statistic and units; preserve notes and estimates","Primary free annual global supply backbone","API currently documents 1970-2022 while newer 2020-2024 yearbook may lead the API; symbols map imperfectly to zero/NULL","2026-09-01"
"fundamentals","World copper smelter production by country annual","Copper smelter production by country","metric tonnes copper content","metric tonnes","global/country","annual","annual","British Geological Survey World Mineral Statistics","https://www2.bgs.ac.uk/mineralsUK/data-download/wms.cfc?agreeToTsAndCs=agreed&commodity=40&dataType=Production&method=listResults","official geological survey API/download","free under BGS terms","1970","roughly one to two years","raw","","commodity copper; subcommodity smelter","A","query OGC API or Excel download and retain source notes","Direct clean public smelter-production history","Latest year availability and API symbol treatment differ from yearbooks","2026-09-01"
"fundamentals","World refined copper production by country annual","Refined copper production by country including source distinctions where supplied","metric tonnes copper content","metric tonnes","global/country","annual","annual","British Geological Survey World Mineral Statistics and USGS historical global files","https://www.usgs.gov/centers/national-minerals-information-center/historical-global-statistics-mineral-and-material","official geological survey spreadsheets/API","free","1970 BGS; USGS country workbooks mainly 1990 onward","one to two years","raw","","BGS copper refined; USGS copper smelter/refinery tables","A","prefer BGS for consistent panel; retain USGS as validation and recent-source supplement","Do not sum BGS and USGS; reconcile definitions first","Primary/secondary coverage and country definitions vary","2026-09-01"
"fundamentals","World monthly mine primary-refined secondary-refined usage stocks and balance snapshot","Latest ICSG world totals including monthly observations and recent annual history","thousand metric tonnes copper","thousand metric tonnes copper","world","monthly","monthly","ICSG Selected Copper Statistics Table 1","https://icsg.org/wp-content/uploads/Table1.pdf","intergovernmental public PDF snapshot","free","public snapshot includes recent years and latest months; archive press releases extend history","about two months","raw","","Table 1 World Refined Copper Production and Usage Trends","A/B","download every dated Table1/press-release PDF as a vintage and parse labeled cells","This is a genuine public monthly fundamentals source; repeated vintages can build a revision-aware history","The rolling table overwrites/updates recent values; layout issues in PDF; keep every vintage","2026-09-01"
"fundamentals","World monthly country fundamentals full history","Country monthly mine smelter refinery semis production usage trade stocks and prices","thousand metric tonnes copper","various","global/country","monthly and annual","monthly","ICSG Online Statistical Database and Copper Bulletin","https://icsg.org/whats-icsg-online-statistical-database/","intergovernmental subscription database","paid/subscription","country statistics since 1995; some world series earlier","monthly with publication lag","raw","","ICSG database/Bulletin tables","C","licensed database export or Bulletin files; preserve publication vintage","This is the exact systematic full-history source; public snapshots are a valid reduced free route","Methodology revisions provisional data and redistribution restrictions","2026-09-01"
"fundamentals","World mine and refinery capacity utilization","ICSG reported production divided by corresponding capacity; use published utilization when available","percent","percent and thousand tonnes","world","monthly and annual","monthly","ICSG Selected Copper Statistics Table 1","https://icsg.org/wp-content/uploads/Table1.pdf","intergovernmental public PDF snapshot","free for current rolling table","recent annuals plus latest months in each archived snapshot","about two months","raw when published","production / capacity * 100 only when reconstructing from same table and period basis","Mine Capacity Utilization Rate; Refinery Capacity Utilization Rate","A/B","parse published rates and capacity/production; archive each monthly vintage","This resolves the earlier mistaken claim that global utilization was unavailable; public ICSG tables publish mine and refinery utilization","Do not infer smelter utilization from refinery capacity; month-length annualization must match ICSG","2026-09-01"
"fundamentals","World smelter capacity utilization","World smelter production divided by world smelter capacity on the same ICSG basis","percent","thousand tonnes and percent","world","monthly and annual","monthly or annual","ICSG Copper Bulletin and Directory/Online Database","https://icsg.org/statistical/","intergovernmental subscription tables","paid/subscription for consistent history","directory country history spans multiple years; exact database history varies","monthly/semianual","derived from licensed raw","ICSG smelter production / ICSG smelter capacity * 100 with period-consistent capacity","ICSG smelter production and capacity tables","C","licensed export; store both numerator and denominator and the calculated rate","Exact clean route exists; do not mix BGS annual production with current facility nameplate capacity for a monthly rate","Capacity methodology operating/planned status and annualization change over editions","2026-09-01"
"fundamentals","Copper facilities and current nameplate capacity","Mine smelter and refinery facility name capacity operational status and processing type","metric tonnes/year","metric tonnes/year","global/facility","event/semianual","semianual snapshot","ICSG Interactive Map","https://icsg.org/map-mines-smelters-refineries/","intergovernmental interactive facility map","free for displayed fields; full historical Directory paid","current snapshot launched 2026; Directory history older","irregular/semianual","raw","","ICSG map facility fields","A/B","capture permitted structured map payload or snapshot with retrieval date; use licensed Directory for full fields/history","Useful free current facility backbone; not a historical utilization dataset by itself","Map fields and access controls may change; current snapshot must be versioned","2026-09-01"
"mine_supply","Chile copper mine production by company monthly","Fine-copper production by major Chilean producing company and total","metric tonnes copper","metric tonnes copper","Chile/company","monthly","monthly","COCHILCO electronic statistical bulletin","https://boletin.cochilco.cl/productos/boletin.asp?anio=2026&mes=06&tabla=tabla22","government structured table","free","long electronic bulletin archive; verify first consistent company table","about one to two months","raw","","tabla22 and adjacent production tables","A","iterate year month table URLs; save HTML and normalized rows","Strong high-frequency mine-disruption evidence for the largest producing country","Company grouping and provisional revisions; keep vintages","2026-09-01"
"mine_supply","Peru copper mine production by operator monthly","Fine-metric-ton copper production by mining operator from ESTAMIN","fine metric tonnes","fine metric tonnes","Peru/operator","monthly","monthly","Peru Ministry of Energy and Mines Mining Statistical Bulletin","https://www.gob.pe/institucion/minem/colecciones/6-boletin-estadistico-minero","government XLSX and PDF","free","monthly series and bulletins extend well before 2010; operator coverage varies","roughly six weeks","raw","","BEM XLSX metallic mining production tables","A","download monthly/prepublication XLSX and retain workbook; normalize operator and mine identifiers","Strong comparable observed-output dataset for disruptions","Operator names projects and preliminary observations are revised","2026-09-01"
"mine_supply","Major producer mine-level quarterly output and guidance","Reported copper production by operation and formal company guidance ranges or revisions","metric tonnes copper and guidance range","company-specific","global/major company and mine","quarterly/event","quarterly plus event","Company exchange filings and investor-relations production reports","https://www.sec.gov/edgar/sec-api-documentation","primary company/regulatory filings","free","company-dependent; commonly 2000s onward","same day to quarterly","raw","","SEC submissions/companyfacts for US issuers; report indexes for BHP Rio Tinto Anglo American Antofagasta Glencore Freeport Southern Copper and others","B","maintain issuer registry; download official reports; extract only explicit output and guidance with page/table citation","This is the defensible disruption ledger: observed production plus disclosed cause and guidance delta; no modelled lost tonnes unless company states them","Reporting perimeters units fiscal calendars and mine ownership change","2026-09-01"
"mine_supply","Open major-miner production cross-check","Mine/company production observations extracted from linked source filings","metric tonnes standardized","mixed original units","global/major companies","quarterly","quarterly","World Mining Monitor","https://github.com/kadoa-org/world-mining-monitor","open-source secondary extraction with source links","free/open repository","currently about one to two years for many companies","project update cadence","raw secondary validation","","production CSV and source-report links","B","use only as discovery/validation; verify each accepted observation against linked primary report","Useful bootstrap not an authoritative substitute for company filings","Coverage is recent and extraction/normalization can contain errors","2026-09-01"
"trade_flows","Copper ore and concentrate trade","Monthly bilateral trade quantity net weight and value under HS 2603","metric tonnes and USD","kg and USD","global/bilateral","monthly","monthly","UN Comtrade API","https://comtradeplus.un.org/TradeFlow","official international trade API","free within public limits; higher limits with free key","1988 broadly; HS revision-dependent","one to several months","raw","","HS 2603; frequency M; flow X/M","A","query public final API with explicit reporter partner flow period and HS revision; save raw JSON","Use quantity for flows; derive unit value only as a descriptive trade measure","Mirror records partner World totals confidentiality and revisions","2026-09-01"
"trade_flows","Unwrought refined copper and alloy trade","Monthly bilateral trade under HS 7403; retain subheadings so cathode and alloy scope is not blurred","metric tonnes and USD","kg and USD","global/bilateral","monthly","monthly","UN Comtrade API","https://comtradeapi.un.org/public/v1/preview/C/A/HS","official international trade API","free within limits","1988 broadly","one to several months","raw","","HS 7403 and detailed subheadings such as cathodes where revision supports them","A","query detailed commodity codes then aggregate explicitly","HS 7403 is broader than Grade A cathodes; preserve commodity description and revision","HS revisions and reporter-specific quantity quality","2026-09-01"
"trade_flows","China monthly copper concentrate and refined copper customs totals","Official China customs quantity and value tables for copper ore/concentrate and unwrought copper products","metric tonnes and USD/CNY","tonnes and value","China","monthly","monthly","General Administration of Customs of China","https://english.customs.gov.cn/Statics/83fb6750-e095-47c6-9890-14979f5a22e8.html","official structured HTML tables","free","archive varies by table; modern monthly pages readily available","roughly two to four weeks","raw","","monthly import/export commodity tables","A/B","discover monthly table pages from customs index and parse exact labels; cross-check against Comtrade","Faster China-specific route; Comtrade remains harmonized global route","Table URLs and classifications change; January/February holiday timing","2026-09-01"
"semis_demand","China copper products output","NBS output of copper products current period accumulated and growth rates","10 thousand metric tonnes","10 thousand tonnes","China","monthly","monthly","National Bureau of Statistics of China via NBS EasyQuery/DBnomics","https://db.nomics.world/NBS/M_A02091J","official-statistics mirror with public API","free","series history in NBS; current DBnomics dataset exposes current vintage","about two to three weeks","raw","","NBS/M_A02091J/A02091J01 and A02091J02","A","use DBnomics API for stable access and retain NBS series codes; optionally snapshot direct NBS EasyQuery payload","Current-period data can be missing while accumulated is present; never treat accumulated as monthly","NBS coverage threshold revisions and February cumulative reporting; DBnomics provider updates can lag","2026-09-01"
"semis_demand","US brass and wire-rod semis production shipments and stocks","Gross-weight production shipments and stocks of US brass-mill and wire-rod semifabricates","metric tonnes gross weight","metric tonnes gross weight","United States","monthly","monthly","USGS Copper Mineral Industry Surveys","https://apps.usgs.gov/minerals-information-archives/copper/mis/","official government XLS/XLSX/PDF archive","free/public domain government work","2005 monthly electronic archive; historical publications older","roughly two to four months","raw","","MIS Table 6 Production Shipments and Stocks of Brass and Wire-Rod Semifabricates","A","download workbook and select one observation per reference month from latest vintage","Direct clean semis data previously missed in the audit","Survey coverage estimation and table number/layout changes","2026-09-01"
"semis_demand","EU copper semis production by product","PRODCOM sold/actual production volumes for refined copper wire rod bars profiles sheets strip tubes and related copper products","metric tonnes","kg or tonnes depending product","European Union/country","annual","annual","Eurostat PRODCOM","https://ec.europa.eu/eurostat/api/comext/dissemination","official REST/SDMX API","free","1995 broadly; classification-dependent","roughly one year with revisions","raw","","DS-059358 sold production; DS-059359 total production; PRODCOM 24.44 product codes","A","query Comext/PRODCOM API by product geo indicator and year; retain confidential flags","Clean regional semis panel; product codes must not be aggregated across revisions without concordance","PRODCOM code revisions confidentiality suppression and change from sold to total-production framework","2026-09-01"
"semis_demand","Global semis production full history","Country monthly/annual semi-manufactured copper products production and fabricator information","metric tonnes copper or gross product weight as defined","various","global/country/product","monthly and annual","monthly/annual","ICSG Online Statistical Database and Fabricators Directory","https://icsg.org/whats-icsg-online-statistical-database/","intergovernmental subscription database","paid/subscription","country database since 1995","monthly/annual","raw","","ICSG semis production and fabricator tables","C","licensed database export with product-definition metadata","Exact systematic global semis route; public China US and EU datasets provide a strong free panel but are not a world total","Product definitions and reporting-country coverage vary","2026-09-01"
"china_demand","China power-grid construction investment","Cumulative investment completed in power-grid projects by major power enterprises; monthly flow obtained only by differencing consecutive YTD releases","CNY billion","CNY 100 million","China","monthly YTD","monthly","National Energy Administration","https://www.nea.gov.cn/","official government structured releases","free","historical monthly releases available for many years; build archive from release index","about three weeks","raw YTD plus accounting derivation","YTD(t) - YTD(t-1); January/February handled using source reporting convention","power grid project investment completed","A/B","crawl monthly national power-industry statistics pages; save HTML and table; derive monthly increment in processed layer","Direct defensible grid-demand driver; preserve both YTD and derived month","February combined-period conventions revisions and reporting-scope changes","2026-09-01"
